Title,Weblinks
Low cycle fatigue behavior and life evaluation of a P/M nickel base superalloy under different dwell conditions,www.doi.org/10.1016/j.proeng.2010.03.226
Surface Recrystallization in Nickel Base Single Crystal Superalloy DD6,www.doi.org/10.1016/S1000-9361(09)60244-2
Influence of Ru addition on microstructure and stress-rupture property of Ni-based single crystal superalloys,www.doi.org/10.1016/S1002-0071(12)60008-2
In-situ observations of the effects of orientation and carbide on low cycle fatigue crack propagation in a single crystal superalloy,www.doi.org/10.1016/j.proeng.2010.03.245
Creep-fatigue behavior of a new generation Ni-base superalloy for aeroengine usage,www.doi.org/10.1016/j.proeng.2010.03.201
Fatigue crack initiation in a notched single-crystal superalloy component,www.doi.org/10.1016/j.proeng.2010.03.115
Low-temperature Formation of Aluminide Coatings on Ni-base Superalloys by Pack Cementation Process,www.doi.org/10.1016/S1000-9361(09)60231-4
Influence of prestraining on the high-temperature fatigue behaviour of polycrystalline nickel-based superalloys in the VHCF range,www.doi.org/10.1016/j.proeng.2010.03.150
"Fatigue behaviour of the superalloy IN 713C under LCF-, HCF- and superimposed LCF/HCF-loading",www.doi.org/10.1016/j.proeng.2010.03.146
Influence of minimum temperature on the thermomechanical fatigue of a directionally-solidified Ni-base superalloy,www.doi.org/10.1016/j.proeng.2010.03.074
On thermo-mechanical fatigue in single crystal Ni-base superalloys,www.doi.org/10.1016/j.proeng.2010.03.088
Fundamental mechanisms of surface damage associated to the localization of the plastic deformation in fatigue,www.doi.org/10.1016/j.proeng.2010.03.081
Simulation-based extreme value marked correlations in fatigue of advanced engineering alloys,www.doi.org/10.1016/j.proeng.2010.03.113
Effect of Al-Si diffusion coating on the fatigue behavior of cast Inconel 713LC at <mml:math altimg=si1.gif display=inline overflow=scroll><mml:mn>800</mml:mn><mml:mspace class=nbsp></mml:mspace><mml:mi>°</mml:mi><mml:mstyle mathvariant=normal><mml:mi>C</mml:mi></mml:mstyle></mml:math>,www.doi.org/10.1016/j.proeng.2010.03.213
Fatigue crack growth behaviour of Inconel 718 with high temperature hold times,www.doi.org/10.1016/j.proeng.2010.03.118
Investigation of localized damage in single crystals subjected to thermalmechanical fatigue (TMF),www.doi.org/10.1016/j.proeng.2010.03.071
3-D reconstruction by extended depth-of-field in failure analysis – Case study I: Qualitative fractographic investigation of fractured bolts in a partial valve,www.doi.org/10.1016/j.engfailanal.2009.09.012
"Phase field methods: Microstructures, mechanical properties and complexity",www.doi.org/10.1016/j.crhy.2010.07.014
Interaction of short cracks with the local microstructure,www.doi.org/10.1016/j.proeng.2010.03.018
Stability of shot peen residual stresses in IN100 subjected to creep and fatigue loading,www.doi.org/10.1016/j.proeng.2010.03.203
Effect of Rhenium Addition on Isothermal Oxidation Behavior of Tribaloy T-800 Alloy,www.doi.org/10.1016/S1000-9361(09)60229-6
Bifurcation diagram for in-service fatigued metals,www.doi.org/10.1016/j.proeng.2010.03.026
Case Studies of three fatigue failure evaluations in aircraft,www.doi.org/10.1016/j.proeng.2010.03.006
Simulation of fatigue crack growth by crack tip plastic blunting using cohesive zone elements,www.doi.org/10.1016/j.proeng.2010.03.221
Dossier Sommaire,www.doi.org/10.1016/S1631-0705(10)00120-9
Lifetime evaluation of hot forged aerospace components by linking microstructural evolution and fatigue behaviour,www.doi.org/10.1016/j.proeng.2010.03.243
Fatigue cracks in a thermal-mechanically processed high-strength steel,www.doi.org/10.1016/j.proeng.2010.03.223
Grindability and Surface Integrity of Cast Nickel-based Superalloy in Creep Feed Grinding with Brazed CBN Abrasive Wheels,www.doi.org/10.1016/S1000-9361(09)60247-8
Low cycle fatigue behavior and life evaluation of a P/M nickel base superalloy under different dwell conditions,www.doi.org/10.1016/j.proeng.2010.03.226
Surface Recrystallization in Nickel Base Single Crystal Superalloy DD6,www.doi.org/10.1016/S1000-9361(09)60244-2
Influence of Ru addition on microstructure and stress-rupture property of Ni-based single crystal superalloys,www.doi.org/10.1016/S1002-0071(12)60008-2
In-situ observations of the effects of orientation and carbide on low cycle fatigue crack propagation in a single crystal superalloy,www.doi.org/10.1016/j.proeng.2010.03.245
Creep-fatigue behavior of a new generation Ni-base superalloy for aeroengine usage,www.doi.org/10.1016/j.proeng.2010.03.201
Fatigue crack initiation in a notched single-crystal superalloy component,www.doi.org/10.1016/j.proeng.2010.03.115
Low-temperature Formation of Aluminide Coatings on Ni-base Superalloys by Pack Cementation Process,www.doi.org/10.1016/S1000-9361(09)60231-4
Influence of prestraining on the high-temperature fatigue behaviour of polycrystalline nickel-based superalloys in the VHCF range,www.doi.org/10.1016/j.proeng.2010.03.150
"Fatigue behaviour of the superalloy IN 713C under LCF-, HCF- and superimposed LCF/HCF-loading",www.doi.org/10.1016/j.proeng.2010.03.146
Influence of minimum temperature on the thermomechanical fatigue of a directionally-solidified Ni-base superalloy,www.doi.org/10.1016/j.proeng.2010.03.074
On thermo-mechanical fatigue in single crystal Ni-base superalloys,www.doi.org/10.1016/j.proeng.2010.03.088
Fundamental mechanisms of surface damage associated to the localization of the plastic deformation in fatigue,www.doi.org/10.1016/j.proeng.2010.03.081
Simulation-based extreme value marked correlations in fatigue of advanced engineering alloys,www.doi.org/10.1016/j.proeng.2010.03.113
Effect of Al-Si diffusion coating on the fatigue behavior of cast Inconel 713LC at <mml:math altimg=si1.gif display=inline overflow=scroll><mml:mn>800</mml:mn><mml:mspace class=nbsp></mml:mspace><mml:mi>°</mml:mi><mml:mstyle mathvariant=normal><mml:mi>C</mml:mi></mml:mstyle></mml:math>,www.doi.org/10.1016/j.proeng.2010.03.213
Fatigue crack growth behaviour of Inconel 718 with high temperature hold times,www.doi.org/10.1016/j.proeng.2010.03.118
Investigation of localized damage in single crystals subjected to thermalmechanical fatigue (TMF),www.doi.org/10.1016/j.proeng.2010.03.071
3-D reconstruction by extended depth-of-field in failure analysis – Case study I: Qualitative fractographic investigation of fractured bolts in a partial valve,www.doi.org/10.1016/j.engfailanal.2009.09.012
"Phase field methods: Microstructures, mechanical properties and complexity",www.doi.org/10.1016/j.crhy.2010.07.014
Interaction of short cracks with the local microstructure,www.doi.org/10.1016/j.proeng.2010.03.018
Stability of shot peen residual stresses in IN100 subjected to creep and fatigue loading,www.doi.org/10.1016/j.proeng.2010.03.203
Effect of Rhenium Addition on Isothermal Oxidation Behavior of Tribaloy T-800 Alloy,www.doi.org/10.1016/S1000-9361(09)60229-6
Bifurcation diagram for in-service fatigued metals,www.doi.org/10.1016/j.proeng.2010.03.026
Case Studies of three fatigue failure evaluations in aircraft,www.doi.org/10.1016/j.proeng.2010.03.006
Simulation of fatigue crack growth by crack tip plastic blunting using cohesive zone elements,www.doi.org/10.1016/j.proeng.2010.03.221
Dossier Sommaire,www.doi.org/10.1016/S1631-0705(10)00120-9
Lifetime evaluation of hot forged aerospace components by linking microstructural evolution and fatigue behaviour,www.doi.org/10.1016/j.proeng.2010.03.243
Fatigue cracks in a thermal-mechanically processed high-strength steel,www.doi.org/10.1016/j.proeng.2010.03.223
Influence of Al on the microstructure and carburization performance of a N-based alloy coating,www.doi.org/10.1016/j.matchemphys.2009.11.046
Investigation of the influence of laser treatment parameters on the properties of the surface layer of aluminum alloys,www.doi.org/10.1016/j.phpro.2010.08.167
"The history, logic and uses of the Equivalent Initial Flaw Size approach to total fatigue life prediction",www.doi.org/10.1016/j.proeng.2010.03.005
Stress–strain and fracture behaviour of 0°/90° and plain weave ceramic matrix composites from tow multi-axial properties,www.doi.org/10.1016/j.ijsolstr.2010.06.023
Sorption kinetics and equilibrium for the removal of nickel ions from aqueous phase on calcined Bofe bentonite clay,www.doi.org/10.1016/j.jhazmat.2009.12.040
Optimization of Preform Shapes by RSM and FEM to Improve Deformation Homogeneity in Aerospace Forgings,www.doi.org/10.1016/S1000-9361(09)60214-4
Selective laser melting technology: From the single laser melted track stability to 3D parts of complex shape,www.doi.org/10.1016/j.phpro.2010.08.083
Computational modeling of titanium structures subjected to thermo-chemo-mechanical environment,www.doi.org/10.1016/j.ijsolstr.2010.08.014
Void growth and coalescence in single crystals,www.doi.org/10.1016/j.ijsolstr.2009.12.019
Crack closure under high load ratio and <mml:math altimg=si1.gif display=inline overflow=scroll><mml:msub><mml:mrow><mml:mi>K</mml:mi></mml:mrow><mml:mrow><mml:mstyle mathvariant=normal><mml:mi>max</mml:mi></mml:mstyle></mml:mrow></mml:msub></mml:math> test conditions,www.doi.org/10.1016/j.proeng.2010.03.008
Reassessing spherical indentation: Contact regimes and mechanical property extractions,www.doi.org/10.1016/j.ijsolstr.2010.05.025
Multiscale modeling of ductile failure in metallic alloys,www.doi.org/10.1016/j.crhy.2010.07.012
Development of Laser Welding of Ni based Superalloys for Aeronautic Engine Applications (Experimental Process and Obtained Properties).,www.doi.org/10.1016/j.phpro.2011.03.014
Effect of cyclic recovery heat treatment on surface recrystallization of a directionally solidified superalloy,www.doi.org/10.1016/S1002-0071(12)60088-4
Deformation behavior during thermo-mechanical fatigue of a nickel-based single crystal superalloy,www.doi.org/10.1016/j.proeng.2011.04.049
Evaluation of fatigue crack initiation in a notched single-crystal superalloy component,www.doi.org/10.1016/j.proeng.2011.04.103
Investigation into the Characteristics of White Layers Produced in a Nickel-Based Superalloy from Drilling Operations,www.doi.org/10.1016/j.proeng.2011.11.092
Effects of TIG Welding Parameters on Morphology and Mechanical Properties of Welded Joint of Ni-base Superalloy,www.doi.org/10.1016/j.proeng.2011.04.009
"Creep, plasticity, and fatigue of single crystal superalloy",www.doi.org/10.1016/j.ijsolstr.2011.03.011
Effects of temperature and rare earth content on oxidation resistance of Ni-based superalloy,www.doi.org/10.1016/S1002-0071(12)60035-5
Astudy on life prediction of low cycle fatigue in superalloy for gas turbine blades,www.doi.org/10.1016/j.proeng.2011.04.331
High temperature tensile properties and fracture behavior of cast nickel-base K445 superalloy,www.doi.org/10.1016/S1002-0071(12)60078-1
A comparative study of four modified Al coatings on Ni<ce:inf loc=post>3</ce:inf>Al-based single crystal superalloy,www.doi.org/10.1016/S1002-0071(12)60089-6
Correlation of the microstructural degradation and mechanical strength of Ni-based superalloy after thermal exposure,www.doi.org/10.1016/j.proeng.2011.04.410
Twist Drilling of Haynes 282 Superalloy,www.doi.org/10.1016/j.proeng.2011.11.094
Effects of Tool Wear on Subsurface Deformation of Nickel-based Superalloy,www.doi.org/10.1016/j.proeng.2011.11.133
Notched fatigue strength of single crystals at high temperature,www.doi.org/10.1016/j.proeng.2011.04.618
The deformation and damage mechanisms during thermomechanical fatigue (TMF) in IN792,www.doi.org/10.1016/j.proeng.2011.04.034
Fatigue crack growth behaviour of Inconel 718 – the concept of a damaged zone caused by high temperature hold times,www.doi.org/10.1016/j.proeng.2011.04.469
Creep behaviour and microstructure changes of model cast Ni-Cr-W-C alloys,www.doi.org/10.1016/j.proeng.2011.04.138
Damage mechanism related to localization of plastic deformation of Waspaloy™: effect of grain size,www.doi.org/10.1016/j.proeng.2011.04.142
A comparative study of residual stress profiles on Inconel 718 induced by dry face turning,www.doi.org/10.1016/j.proeng.2011.11.105
Experimental investigation of high temperature thermal contact resistance with interface material,www.doi.org/10.1063/2.1105109
An investigation of the failure mechanisms in high temperature materials subjected to isothermal and anisothermal fatigue and creep conditions,www.doi.org/10.1016/j.proeng.2011.04.192
Effects of surface modification on isothermal oxidation behavior of HVOF-sprayed NiCrAlY coatings,www.doi.org/10.1016/S1002-0071(12)60052-5
Topography prediction on Milling of emerging aeronautical Ti alloys,www.doi.org/10.1016/j.phpro.2011.11.022
Productivity and Workpiece Surface Integrity When WEDM Aerospace Alloys Using Coated Wires,www.doi.org/10.1016/j.proeng.2011.11.071
Effect of Al and Al-Si diffusion coating on the low cycle fatigue behavior of Inconel 713LC,www.doi.org/10.1016/j.proeng.2011.04.226
Characterization of White Layer Generated when Turning Aged Inconel 718,www.doi.org/10.1016/j.proeng.2011.11.080
Restoration of Nickel-Base Turbine Blade Knife-Edges with Controlled Laser Aided Additive Manufacturing,www.doi.org/10.1016/j.phpro.2011.03.051
A fracture mechanics based approach to predict fatigue life of scratch damaged shot peened components,www.doi.org/10.1016/j.proeng.2011.04.445
Fatigue-creep life analysis for powder metallurgy material with inclusion,www.doi.org/10.1016/j.proeng.2011.10.031
Materials Development for Indian Nuclear Power Programme: an Industry Perspective,www.doi.org/10.1016/j.egypro.2011.06.026
High temperature fatigue crack growth in Alloy 718 – Effect of tensile hold times,www.doi.org/10.1016/j.proeng.2011.04.027
Contents,www.doi.org/10.1016/S1877-7058(11)03007-4
Defect tolerance of a gamma titanium aluminide alloy,www.doi.org/10.1016/j.proeng.2011.04.605
Microstructures and mechanical properties of directionally solidified multi-element Nb-Si alloy,www.doi.org/10.1016/S1002-0071(12)60048-3
Niobium hydrogenation process: Effect of temperature and cooling rate from the hydrogenation temperature,www.doi.org/10.1016/j.ijrmhm.2010.09.006
Editorial: Recent developments of experimental mechanics methods and their applications in engineering,www.doi.org/10.1063/2.1105101
Effect of Boron on Microstructure and Creep Strength ofAdvanced Ferritic Power Plant Steels,www.doi.org/10.1016/j.proeng.2011.04.018
Fatigue strength properties of precipitation strengthening stainless steel A286 focused attention on small fatigue crack behaviour,www.doi.org/10.1016/j.proeng.2011.04.327
Effects of Dy on Transient Oxidation Behavior of EB-PVD β-NiAl Coatings at Elevated Temperatures,www.doi.org/10.1016/S1000-9361(11)60043-5
Cyclic softening behaviour of a P91 steel under low cycle fatigue at high temperature,www.doi.org/10.1016/j.proeng.2011.04.182
Surface integrity of Inconel 718 when finish turning with PVD coated carbide tool under MQL,www.doi.org/10.1016/j.proeng.2011.11.131
Recent Assessment of Surface Integrity Resulting from Fine Finishing Processes,www.doi.org/10.1016/j.proeng.2011.11.103
Additive Generation of Surface Microstructures for Fluid-Dynamic Applications by using Single-Mode Fibre Laser Assisted Microcladding,www.doi.org/10.1016/j.phpro.2011.03.133
Quality evaluation for air plasma spray thermal barrier coatings with pulsed thermography,www.doi.org/10.1016/S1002-0071(12)60061-6
Contents,www.doi.org/10.1016/S1877-7058(11)00912-X
Characterization of surface damage of a solid plate under tensile loading using nonlinear Rayleigh waves,www.doi.org/10.1063/2.1105105
Effects of Ru on microstructure stability and mechanical properties of Ni<ce:inf loc=post>3</ce:inf>Al single crystal alloy,www.doi.org/10.1016/S1002-0071(12)60059-8
Study on NiCr-Cr<ce:inf loc=post>3</ce:inf>C<ce:inf loc=post>2</ce:inf> Deposition Efficiency of Two Supersonic Spraying,www.doi.org/10.1016/j.proeps.2011.09.020
Nd:YAG Laser Welding of Stainless Steel 304 for Photonics Device Packaging,www.doi.org/10.1016/j.proeng.2011.03.069
Application of small punch creep test for Inconel 617 alloy weldment,www.doi.org/10.1016/j.proeng.2011.04.425
"Microstructurally small fatigue crack growth in thin, aluminum-alloy, pressure vessel liner",www.doi.org/10.1016/j.proeng.2011.04.114
Contents,www.doi.org/10.1016/S1875-3892(11)00243-4
Cyclic plastic response and fatigue life in symmetric and asymmetric cyclic loading,www.doi.org/10.1016/j.proeng.2011.04.095
Fast Laser Cutting Optimization Algorithm,www.doi.org/10.1016/j.phpro.2011.03.075
Evaluation of Thermal Barrier Coatings Exposed to Hot Corrosion Environment by Impedance Spectroscopy,www.doi.org/10.1016/S1000-9361(11)60059-9
Effect of loading rate on crack tip fields in three point bend fracture specimen of FCC single crystal,www.doi.org/10.1016/j.ijsolstr.2011.04.019
A Micromechanics-Based Fatigue Damage Process Zone,www.doi.org/10.1016/j.proeng.2011.04.084
Extending the contact regimes to single-crystal indentations,www.doi.org/10.1016/j.crme.2011.05.004
Surface Integrity in Hybrid Machining Processes,www.doi.org/10.1016/j.proeng.2011.11.107
Influence of applied in-plane strain on transverse thermal conductivity of 0°/90° and plain weave ceramic matrix composites,www.doi.org/10.1016/j.ijsolstr.2010.11.017
Solvability via viscosity solutions for a model of phase transitions driven by configurational forces,www.doi.org/10.1016/j.jde.2011.05.035
Creep damage characterization of Ni-based superalloy by acoustic nonlinearity,www.doi.org/10.1016/j.pnsc.2012.07.005
Alloy Design of a New Type High-Performance P/M Turbine Disk Superalloy,www.doi.org/10.1016/j.proeng.2011.12.541
The effect of frequency and sample shape on fatigue behaviors of DZ125 superalloy,www.doi.org/10.1063/2.1203109
Effect of Cutting Conditions on Machinability of Superalloy Inconel 718 During High Speed Turning with Coated and Uncoated PCBN Tools,www.doi.org/10.1016/j.procir.2012.07.064
Suppressing the formation of SRZ in a Ni-based single crystal superalloy by RuNiAl diffusion barrier,www.doi.org/10.1016/j.pnsc.2012.03.007
Dendrite morphology and evolution mechanism of nickel-based single crystal superalloys grown along the <001> and <011> orientations,www.doi.org/10.1016/j.pnsc.2012.10.001
Investigation on selection crystal behavior of a Ni3Al-based single crystal superalloy IC6SX,www.doi.org/10.1016/j.proeng.2011.12.563
Thermal Plasticity of Hard-Deformed Superalloy GH4720Li and a Method of Fracture Prediction for Cogging,www.doi.org/10.1016/j.proeng.2011.12.539
Microstructure and Oxidation Behavior of Modified Aluminide Coating on Ni<ce:inf loc=post>3</ce:inf>Al-based Single Crystal Superalloy,www.doi.org/10.1016/S1000-9361(11)60451-2
Effect of long term aging on microstructure and stress rupture properties of a nickel based single crystal superalloy,www.doi.org/10.1016/j.pnsc.2012.10.004
Forging process of a new type high-performance P/M turbine disk superalloy,www.doi.org/10.1016/j.proeng.2011.12.542
Microstructural stability and strengthening mechanism of a Ni3Al-Mo based single-crystal superalloy containing Re element during long-time thermal aging,www.doi.org/10.1016/j.proeng.2011.12.546
Thermal Corrosion Behavior of NiCoCrAlTaY Coating for a Ni Base Superalloy Prepared by Low Pressure Plasma Spraying,www.doi.org/10.1016/j.proeng.2011.12.545
Influence of aging heat treatment on microstructure and hardness of single crystal Ni3Al-base superalloy IC21,www.doi.org/10.1016/j.proeng.2011.12.557
An evaluation of the evolution of workpiece surface integrity in hole making operations for a nickel-based superalloy,www.doi.org/10.1016/j.jmatprotec.2012.03.014
Sensor Fusion for Tool State Classification in Nickel Superalloy High Performance Cutting,www.doi.org/10.1016/j.procir.2012.05.005
A Study on Ultrasonic Assisted Creep Feed Grinding of Nickel Based Superalloys,www.doi.org/10.1016/j.procir.2012.04.064
High Temperature Corrosion Behaviors of the Superheater Materials,www.doi.org/10.1016/j.proeng.2012.03.033
Effect of Ti on Microstructural Evolution of Re containing Single Crystal Superallys,www.doi.org/10.1016/j.proeng.2011.12.543
Failure Analyses of Two Gas Turbine Wheels,www.doi.org/10.1016/j.mspro.2012.06.038
An Investigation of the Orientation-dependent Study of a Nickel-based Alloy Subjected to Deformation,www.doi.org/10.1016/j.proeng.2012.03.030
Tensile Flow Behavior in Inconel 600 Alloy Sheet at Elevated Temperatures,www.doi.org/10.1016/j.proeng.2012.03.018
